,Book Name,Author Name,Publisher,Publish Date,Purchase Info,Page Numbers,Cover Type,Paper Type,Rate,Rating Count,Review Count,Fav Count,To-Read List Count,Price,Discount
46,İnsanlar,Matt Haig,DOMİNGO YAYINEVİ,01/04/2022,Bu üründen 11593 adet satın alınmıştır,296.0,Karton Kapak,,5.0,224.0,140.0,8443,550.0,80.0,Kazanacağınız Puan: 82
47,Nohut Adam,Anıl Basılı,TİMAŞ ÇOCUK YAYINLARI,22/09/2023,Bu üründen 23109 adet satın alınmıştır,64.0,Karton Kapak,,5.0,435.0,253.0,4164,350.0,44.18,Kazanacağınız Puan: 42
48,Evlenmeden Önce,Doğan Cüceloğlu,KRONİK KİTAP,10/12/2021,Bu üründen 11924 adet satın alınmıştır,208.0,Karton Kapak,,5.0,149.0,76.0,8256,394.0,58.11,Kazanacağınız Puan: 84
49,Kapra Felsefe Seti (10 Kitap),"Rene Descartes,  

 Cicero ,  

 Tommasso Campanella,  

 Francis Bacon,  

 Sigmund Freud,  

 Niccolo Machiavelli,  

 Platon (Eflatun) ,  

 William James",KAPRA YAYINCILIK,11/09/2021,Bu üründen 16058 adet satın alınmıştır,984.0,Karton Kapak,,5.0,352.0,167.0,4425,665.0,75.9,Kazanacağınız Puan: 138
50,İrade Terbiyesi,Dr. Ethem Bakar,KETEBE YAYINEVİ,22/08/2023,Bu üründen 7994 adet satın alınmıştır,384.0,Karton Kapak,,5.0,101.0,48.0,3921,381.0,82.9,Kazanacağınız Puan: 192
51,Kürk Mantolu Madonna,Sabahattin Ali,YAPI KREDİ YAYINLARI,15/08/2023,Bu üründen 219475 adet satın alınmıştır,160.0,Karton Kapak,,5.0,24044.0,12438.0,45659,,14.05,Kazanacağınız Puan: 14
52,Çetin Ceviz  Sıra Dışı Bir Ödev Hikayesi,Sinan Yaşar,FOM KİTAP,06/06/2022,Bu üründen 37936 adet satın alınmıştır,64.0,Karton Kapak,,5.0,799.0,376.0,3572,290.0,45.2,Kazanacağınız Puan: 36
53,Mahfuz,Eray Hacıosmanoğlu,HAYY KİTAP,19/02/2022,Bu üründen 10377 adet satın alınmıştır,208.0,Karton Kapak,,5.0,125.0,76.0,2625,324.0,75.0,Kazanacağınız Puan: 60
54,Platin Üyelik 1 Aylık Abonelik,,KİTAPYURDU,,,,,,5.0,102.0,62.0,460,,50.0,Kazanacağınız Puan: 50
55,Semerkant,Amin Maalouf,YAPI KREDİ YAYINLARI,23/09/2021,Bu üründen 77770 adet satın alınmıştır,318.0,Karton Kapak,,5.0,6016.0,3425.0,34647,,69.11,Kazanacağınız Puan: 52
56,Bin Dokuz Yüz Seksen Dört - 1984,George Orwell,KAPRA YAYINCILIK,05/01/2021,Bu üründen 23970 adet satın alınmıştır,296.0,Karton Kapak,,5.0,487.0,254.0,4431,648.0,19.04,Kazanacağınız Puan: 20
57,Masumiyet Müzesi,Orhan Pamuk,YAPI KREDİ YAYINLARI,07/10/2023,Bu üründen 42791 adet satın alınmıştır,524.0,Karton Kapak,,4.0,2196.0,1110.0,28685,,130.03,Kazanacağınız Puan: 84
58,Beyaz Zambaklar Ülkesinde,Grigory Petrov,KAPRA YAYINCILIK,28/11/2020,Bu üründen 25776 adet satın alınmıştır,104.0,Karton Kapak,,5.0,338.0,183.0,6660,468.0,13.33,Kazanacağınız Puan: 14
59,Kiraz Ağacı ile Aramızdaki Mesafe,Paola Peretti,TİMAŞ GENÇ,18/04/2022,Bu üründen 36617 adet satın alınmıştır,208.0,Karton Kapak,,5.0,1130.0,510.0,9791,846.0,72.7,Kazanacağınız Puan: 70
60,Herkes O’nu Anlatıyor 1 / Ailesi,Hatice Kübra Tongar,AİLE YAYINLARI,16/09/2023,Bu üründen 6600 adet satın alınmıştır,208.0,Karton Kapak,,5.0,36.0,27.0,918,119.0,80.35,Kazanacağınız Puan: 162
61,Puslu Kıtalar Atlası,İhsan Oktay Anar,İLETİŞİM YAYINLARI,02/06/2021,Bu üründen 63265 adet satın alınmıştır,238.0,Karton Kapak,,5.0,4948.0,2841.0,31399,,85.48,Kazanacağınız Puan: 70
62,Cumhuriyetin 100 Günü: İnkılabın Ayak Sesleri,Emrah Safa Gürkan,MUNDİ,02/05/2023,Bu üründen 6197 adet satın alınmıştır,400.0,Karton Kapak,,5.0,96.0,38.0,1918,198.0,80.85,Kazanacağınız Puan: 200
63,Pal Sokağı Çocukları,Ferenc Molnar,KAPRA YAYINCILIK,01/01/2023,Bu üründen 7653 adet satın alınmıştır,200.0,Karton Kapak,,5.0,64.0,43.0,2495,150.0,12.9,Kazanacağınız Puan: 20
64,Cumhuriyet’in Doğuşu  Kurtuluş ve Kuruluş Yılları,Prof. Dr. İlber Ortaylı,KRONİK KİTAP,23/10/2023,Bu üründen 6964 adet satın alınmıştır,304.0,Karton Kapak,,5.0,72.0,34.0,2733,344.0,58.66,Kazanacağınız Puan: 138
65,İçimizdeki Şeytan,Sabahattin Ali,YAPI KREDİ YAYINLARI,09/07/2019,Bu üründen 148173 adet satın alınmıştır,267.0,Karton Kapak,,5.0,12060.0,5107.0,35694,,17.3,Kazanacağınız Puan: 20
66,Küçük Prens,Antoine De Saint Exupery,KAPRA YAYINCILIK,13/01/2021,Bu üründen 29205 adet satın alınmıştır,96.0,Karton Kapak,,5.0,268.0,158.0,4026,306.0,9.9,Kazanacağınız Puan: 14
67,Cumhuriyetin 100 İsmi: Büyük Devrimin Portreleri,Emrah Safa Gürkan,MUNDİ,02/05/2023,Bu üründen 5781 adet satın alınmıştır,432.0,Karton Kapak,,5.0,87.0,34.0,1776,181.0,77.02,Kazanacağınız Puan: 200
68,Gerçek Tıp  Yitik Şifanın İzinde,Aidin Salih,YİTİK ŞİFA,23/02/2017,Bu üründen 69863 adet satın alınmıştır,432.0,Karton Kapak,,5.0,2498.0,1271.0,15215,,106.52,Kazanacağınız Puan: 178
69,Muhtelif 1  İslam'a Yönelik İtirazlar ve Cevaplar,Altay Cem Meriç,İNSAN YAYINLARI,03/07/2023,Bu üründen 6106 adet satın alınmıştır,184.0,Karton Kapak,,5.0,118.0,73.0,1823,371.0,68.8,Kazanacağınız Puan: 144
70,Senin Cahilliğin Benim Yaşamımı Etkiliyor,A. M. Celal Şengör,MASA KİTAP,01/08/2023,Bu üründen 5927 adet satın alınmıştır,260.0,Karton Kapak,,5.0,89.0,48.0,3117,314.0,97.7,Kazanacağınız Puan: 136
71,Charlie'nin Çikolata Fabrikası (Ciltsiz),Roald Dahl,CAN ÇOCUK YAYINLARI,14/01/2022,Bu üründen 58393 adet satın alınmıştır,208.0,Karton Kapak,,5.0,2350.0,981.0,8828,928.0,67.0,Kazanacağınız Puan: 58
72,Kuru Kız,Ayfer Tunç,CAN YAYINLARI,05/04/2023,Bu üründen 5501 adet satın alınmıştır,216.0,Karton Kapak,,5.0,111.0,73.0,2672,211.0,69.1,Kazanacağınız Puan: 114
73,İnce Memed 2,Yaşar Kemal,YAPI KREDİ YAYINLARI,27/02/2020,Bu üründen 36595 adet satın alınmıştır,459.0,Karton Kapak,,5.0,2293.0,1038.0,15277,,137.53,Kazanacağınız Puan: 68
74,Çizgili Pijamalı Çocuk,John Boyne,TUDEM YAYINEVİ,05/03/2016,Bu üründen 48615 adet satın alınmıştır,208.0,Karton Kapak,,5.0,2611.0,1287.0,21856,,111.75,Kazanacağınız Puan: 72
75,Beyaz Gemi,Cengiz Aytmatov,KETEBE YAYINEVİ,02/06/2021,Bu üründen 12161 adet satın alınmıştır,180.0,Karton Kapak,,5.0,245.0,129.0,4468,356.0,40.2,Kazanacağınız Puan: 20
76,Hayvan Çiftliği (Ciltsiz),George Orwell,CAN YAYINLARI,04/10/2019,Bu üründen 206603 adet satın alınmıştır,152.0,Karton Kapak,,5.0,19217.0,8911.0,44488,,29.1,Kazanacağınız Puan: 20
77,Diriliş Neslinin Amentüsü,Sezai Karakoç,DİRİLİŞ YAYINLARI,01/03/2012,Bu üründen 69693 adet satın alınmıştır,68.0,Karton Kapak,,5.0,3396.0,1418.0,14891,,25.3,Kazanacağınız Puan: 34
78,Zamanı Durdurmanın Yolları,Matt Haig,DOMİNGO YAYINEVİ,05/11/2018,Bu üründen 12423 adet satın alınmıştır,328.0,Karton Kapak,,5.0,518.0,275.0,7922,562.0,80.37,Kazanacağınız Puan: 72
79,Haritada Kaybolmak,Vladimir Tumanov,GÜNIŞIĞI KİTAPLIĞI,28/10/2019,Bu üründen 45492 adet satın alınmıştır,200.0,Karton Kapak,,5.0,1144.0,456.0,4243,544.0,73.87,Kazanacağınız Puan: 66
80,Türklerin Tarihi  Orta Asya’nın Bozkırlarından Avrupa’nın Kapılarına,Prof. Dr. İlber Ortaylı,KRONİK KİTAP,08/09/2022,Bu üründen 8045 adet satın alınmıştır,272.0,Karton Kapak,,5.0,117.0,65.0,4844,319.0,46.61,Kazanacağınız Puan: 66
81,Bir İdam Mahkumunun Son Günü,Victor Hugo,KAPRA YAYINCILIK,28/11/2020,Bu üründen 17391 adet satın alınmıştır,128.0,Karton Kapak,,5.0,277.0,154.0,6377,496.0,13.33,Kazanacağınız Puan: 14
82,Başarısızlar Kulübü,Anıl Basılı,TİMAŞ İLK GENÇ,07/01/2022,Bu üründen 12700 adet satın alınmıştır,160.0,Karton Kapak,,5.0,162.0,89.0,2808,250.0,49.9,Kazanacağınız Puan: 56
83,KPSS ALES DGS Ezberbozan Paragraf Soru Bankası,Kolektif,PEGEM AKADEMİ YAYINCILIK-SINAV KİTAPLARI,20/09/2023,Bu üründen 17275 adet satın alınmıştır,488.0,Karton Kapak,,5.0,544.0,313.0,5446,297.0,170.39,Kazanacağınız Puan: 158
84,Kaplanın Sırtında,Zülfü Livaneli,İNKILAP KİTABEVİ,09/01/2023,Bu üründen 5182 adet satın alınmıştır,324.0,Karton Kapak,,5.0,50.0,33.0,2866,147.0,91.0,Kazanacağınız Puan: 156
85,İnsan İnsana,Doğan Cüceloğlu,KRONİK KİTAP,18/11/2021,Bu üründen 9864 adet satın alınmıştır,312.0,Karton Kapak,,5.0,108.0,57.0,8366,333.0,67.16,Kazanacağınız Puan: 80
86,Kuyucaklı Yusuf,Sabahattin Ali,YAPI KREDİ YAYINLARI,06/08/2019,Bu üründen 129242 adet satın alınmıştır,221.0,Karton Kapak,,5.0,10519.0,4838.0,27742,,14.85,Kazanacağınız Puan: 16
87,"Dakikalar İçinde Atatürk ve Dünyası  Askeri, Siyasi ve Özel Hayatı",Prof. Dr. İlber Ortaylı,KRONİK KİTAP,01/03/2023,Bu üründen 5201 adet satın alınmıştır,416.0,Karton Kapak,,5.0,118.0,59.0,3478,273.0,42.42,Kazanacağınız Puan: 66
88,Lo,Şermin Yaşar,DOĞAN ÇOCUK,21/04/2022,Bu üründen 8307 adet satın alınmıştır,120.0,Karton Kapak,,5.0,102.0,64.0,2429,208.0,136.21,Kazanacağınız Puan: 86
89,On Kişiydiler (On Küçük Zenci),Agatha Christie,ALTIN KİTAPLAR,08/08/2023,Bu üründen 10432 adet satın alınmıştır,224.0,Karton Kapak,,5.0,322.0,220.0,6346,399.0,58.86,Kazanacağınız Puan: 68
90,Patlamış Mısır Korsanları / Abur Cubur Peşinde,Alexander McCall Smith,GÜNIŞIĞI KİTAPLIĞI,21/03/2022,Bu üründen 7736 adet satın alınmıştır,92.0,Karton Kapak,,5.0,87.0,37.0,1132,74.0,38.1,Kazanacağınız Puan: 48
91,Tutunamayanlar / Bütün Eserleri 1,Oğuz Atay,İLETİŞİM YAYINLARI,08/08/2023,Bu üründen 73705 adet satın alınmıştır,724.0,Karton Kapak,,5.0,5758.0,2611.0,48131,,200.98,Kazanacağınız Puan: 118
92,Peygamberliğin İspatı  Haber Delili,Altay Cem Meriç,İNSAN YAYINLARI,05/08/2022,Bu üründen 9639 adet satın alınmıştır,519.0,Karton Kapak,,5.0,229.0,141.0,3511,622.0,157.83,Kazanacağınız Puan: 132
93,Sular Üstünde Gökler Altında,Kaan Murat Yanık,KETEBE YAYINEVİ,07/03/2023,Bu üründen 5171 adet satın alınmıştır,352.0,Karton Kapak,,5.0,153.0,101.0,2160,295.0,56.25,Kazanacağınız Puan: 68
94,"Suç ve Ceza (2 Cilt Takım) (Ciltli, İplik Dikişli)",Fyodor Mihailoviç Dostoyevski,KAPRA YAYINCILIK,26/07/2022,Bu üründen 5546 adet satın alınmıştır,636.0,Ciltli,,5.0,96.0,70.0,4173,262.0,59.8,Kazanacağınız Puan: 80
95,O An,M. Barış Muslu,DOĞAN KİTAP,14/04/2023,Bu üründen 4955 adet satın alınmıştır,248.0,Karton Kapak,,5.0,27.0,15.0,1255,112.0,84.9,Kazanacağınız Puan: 154
96,Yeraltından Notlar,Fyodor Mihailoviç Dostoyevski,KAPRA YAYINCILIK,28/11/2020,Bu üründen 13314 adet satın alınmıştır,136.0,Karton Kapak,,5.0,178.0,96.0,5428,344.0,9.9,Kazanacağınız Puan: 14
97,Dört Anlaşma: Toltek Bilgelik Kitabı,Don Miguel Ruiz,ÖTESİ YAYINCILIK,30/07/2021,Bu üründen 32067 adet satın alınmıştır,122.0,Karton Kapak,,5.0,1059.0,534.0,8388,604.0,46.72,Kazanacağınız Puan: 44
98,Bakara Suresi Sohbetleri,Nouman Ali Khan,TİMAŞ YAYINLARI,10/01/2023,Bu üründen 4949 adet satın alınmıştır,288.0,Karton Kapak,,5.0,72.0,44.0,3276,204.0,99.0,Kazanacağınız Puan: 122
99,Dünyanın En Yalnız Beyni,Serkan Karaismailoğlu,ORTAPİA,21/07/2023,Bu üründen 4864 adet satın alınmıştır,312.0,Karton Kapak,,5.0,70.0,40.0,1794,280.0,93.2,Kazanacağınız Puan: 224
100,Hayatı Yeniden Keşfedin,"Jeffrey E. Young,  

 Janet S. Klosko",PSİKONET YAYINLARI,01/12/2014,Bu üründen 24955 adet satın alınmıştır,456.0,Karton Kapak,,5.0,706.0,335.0,11056,724.0,101.5,Kazanacağınız Puan: 116
101,Kalplerin Keşfi / Mukaşefetü'l Kulüp (Ciltsiz),İmam Gazali,ÇELİK YAYINEVİ,11/04/2019,Bu üründen 13893 adet satın alınmıştır,582.0,Karton Kapak,,5.0,552.0,282.0,7491,585.0,113.27,Kazanacağınız Puan: 82
102,Çürümenin Kitabı,Emil Michel Cioran,METİS YAYINLARI,09/01/2023,Bu üründen 17782 adet satın alınmıştır,192.0,Karton Kapak,,4.0,893.0,363.0,13590,,79.94,Kazanacağınız Puan: 80
103,"Ben, Kirke",Madeline Miller,İTHAKİ YAYINLARI,25/01/2021,Bu üründen 55899 adet satın alınmıştır,408.0,Karton Kapak,,4.0,1905.0,1045.0,28713,,165.6,Kazanacağınız Puan: 70
104,Dervişin Teselli Koleksiyonu 2,Mecit Ömür Öztürk,HAYY KİTAP,19/07/2022,Bu üründen 10179 adet satın alınmıştır,248.0,Karton Kapak,,5.0,157.0,104.0,4220,355.0,63.55,Kazanacağınız Puan: 66
105,101 Deyim 101 Öykü,Süleyman Bulut,CAN ÇOCUK YAYINLARI,19/03/2019,Bu üründen 34054 adet satın alınmıştır,204.0,Karton Kapak,,5.0,797.0,367.0,4126,383.0,70.0,Kazanacağınız Puan: 48
106,Dedemin Bakkalı,Şermin Yaşar,TAZE KİTAP,01/05/2018,Bu üründen 71468 adet satın alınmıştır,200.0,Karton Kapak,,5.0,3292.0,1557.0,12448,,120.16,Kazanacağınız Puan: 94
107,Yüzyıllık Yalnızlık (Ciltsiz),Gabriel Garcia Marquez,CAN YAYINLARI,24/09/2019,Bu üründen 70431 adet satın alınmıştır,464.0,Karton Kapak,,4.0,5967.0,2452.0,43721,,123.52,Kazanacağınız Puan: 88
108,Kitleler Psikolojisi,Gustave Le Bon,KAPRA YAYINCILIK,28/11/2020,Bu üründen 15217 adet satın alınmıştır,168.0,Karton Kapak,,5.0,297.0,129.0,5752,510.0,12.9,Kazanacağınız Puan: 14
109,Martıya Uçmayı Öğreten Kedi,Luis Sepulveda,CAN ÇOCUK YAYINLARI,24/09/2021,Bu üründen 37639 adet satın alınmıştır,128.0,Karton Kapak,,5.0,896.0,375.0,5299,455.0,52.02,Kazanacağınız Puan: 36
110,SS  Süleyman Soylu,"Barış Pehlivan,  

 Barış Terkoğlu",KIRMIZI KEDİ YAYINEVİ,13/04/2023,Bu üründen 4542 adet satın alınmıştır,256.0,Karton Kapak,,5.0,67.0,35.0,703,114.0,93.6,Kazanacağınız Puan: 166
